country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
BRB,1961,194192,,0.31899884,231718,
BRB,1962,260144,,0.39409894,232633,
BRB,1963,190528,,0.427656288,233630,
BRB,1964,179536,,0.408359103,234586,
BRB,1965,205184,,0.351916006,235413,
BRB,1966,267472,,0.286319843,236088,
BRB,1967,337088,,0.24156696,236659,
BRB,1968,439680,,0.245621563,237241,
BRB,1969,479984,,0.300507806,237955,
BRB,1970,428688,,0.394673062,238896,
BRB,1971,483648,,0.500220254,240094,
BRB,1972,501968,,0.590106964,241515,
BRB,1973,479984,,0.641377069,243069,
BRB,1974,490976,311809337.474355,0.645873895,244644,
BRB,1975,567920,402178605.019554,0.615326372,246154,
BRB,1976,531280,435911268.58968,0.5788523,247583,
BRB,1977,589904,495097667.929041,0.545397308,248937,
BRB,1978,630208,552883707.055138,0.507273597,250203,
BRB,1979,600896,670362452.145379,0.457778028,251351,
BRB,1980,674176,1012280614.52792,0.414098995,252394,
BRB,1981,685168,1114204743.20091,0.357530261,253298,
BRB,1982,644864,1163923830.35847,0.309038836,254082,
BRB,1983,685168,1236016506.73694,0.277477726,254788,
BRB,1984,741332.72,1346890071.09829,0.277884106,255497,
BRB,1985,836277.58,1409536120.91682,0.299359298,256263,
BRB,1986,906074.88,1547755183.21484,0.328807979,257107,
BRB,1987,930495.22,1704370307.76115,0.354088496,258019,
BRB,1988,934586.25,1812757917.76463,0.370602905,258977,
BRB,1989,975947.35,2006165166.80754,0.377697806,259957,
BRB,1990,1060309.5,2012131457.26644,0.37589338,260936,
BRB,1991,1192105.13,2020583702.08323,0.370667606,261905,
BRB,1992,966324.24,1957000000,0.373863554,262886,
BRB,1993,1109835.97,2063342117.03873,0.375123836,263874,
BRB,1994,741884.31,2151344901.30761,0.385425437,264893,
BRB,1995,822958.69,2216974096.35559,0.400115068,265955,
BRB,1996,842329.84,2363645403.47039,0.410504062,267049,
BRB,1997,888898.62,2498384129.66738,0.425233622,268187,
BRB,1998,1121214.01,2817083478.34734,0.427517241,269336,
BRB,1999,1191216.12,2951822204.54432,0.413126506,270451,
BRB,2000,1168034.46,3059500000,0.392645061,271515,
BRB,2001,1201291.93,3054500000,0.362122764,272500,
BRB,2002,1203804.94,3106500000,0.338874712,273425,
BRB,2003,1241370.49,3209500000,0.330075479,274329,
BRB,2004,1266009.42,3444500000,0.347517603,275284,
BRB,2005,1322333.83,3819500000,0.376717927,276323,
BRB,2006,1339292.45,4217500000,0.416757555,277477,
BRB,2007,1334369.73,4674000000,0.439788762,278700,
BRB,2008,1589006.38,4785000000,0.446079294,279946,
BRB,2009,1589309.13,4465500000,0.41279802,281104,
BRB,2010,1452631.84,4530000000,0.364679446,282131,
BRB,2011,1504161.64,4657500000,0.302945811,282987,
BRB,2012,1449892.49,4610000000,0.251638162,283700,
BRB,2013,1429527,4677000000,0.20986071,284296,
BRB,2014,1253510.21,4696500000,0.185900767,284825,
BRB,2015,1300876.97,4715000000,0.175042007,285324,
BTN,1970,3664,,3.221360997,297316,
BTN,1971,3664,,3.190561079,306955,
BTN,1972,3664,,3.165788283,316828,
BTN,1973,3664,,3.154608364,326982,
BTN,1974,3664,,3.161594137,337485,
BTN,1975,3664,,3.181869898,348396,
BTN,1976,3664,,3.200008679,359725,
BTN,1977,7328,,3.201518584,371428,
BTN,1978,10992,,3.153076558,383326,
BTN,1979,21984,,3.04935119,395195,
BTN,1980,21984,135653295.165394,2.912669899,406875,
BTN,1981,25648,146391639.722864,2.724093455,418111,
BTN,1982,32976,148934334.038055,2.555611343,428934,
BTN,1983,29312,165585940.594059,2.506703867,439822,
BTN,1984,51296,169264991.197183,2.615211569,451476,
BTN,1985,62288,172217502.021019,2.793544853,464266,
BTN,1986,54960,201375725.614592,3.05997205,478692,
BTN,1987,102592,253182453.703704,3.210951244,494312,
BTN,1988,109920,283855833.333333,3.034146115,509540,
BTN,1989,62288,275949889.09427,2.450208306,522179,
